BFS Times: [38093334, 834791, 3554334, 4580000, 3436250, 274333, 4732750, 2140417, 1232625, 1390250, 194541, 397083, 660167, 607750, 1261208, 894500, 491792, 60625, 808459, 825500, 844833, 210750, 291333, 564875, 208125, 427625, 266584, 222750, 738125, 178583, 284750, 109250, 206750, 76042, 186208, 613334, 267125, 623209, 394375, 743917, 623583, 627625, 332958, 586250, 598459, 502708, 33417, 376333, 874042, 881917, 4793792, 193292, 1088583, 938250, 538000, 1073875, 1679542, 1260250, 163167, 237584, 484792, 373542, 780334, 281000, 213917, 202167, 109583, 536583, 384167, 358458, 76917, 335958, 546584, 246167, 51042, 55042, 2018041, 1964125, 1181250, 402709, 151416, 498500, 173875, 125750, 373500, 308000, 159958, 390208, 315291, 469250, 92584, 540167, 235833, 214042, 182250, 447083, 636500, 224834, 60209, 361083]
BFS Costs: [9.425, 2.0, 4.571, 7.356, 8.283, 1.785, 0.0, 20.708, 11.712, 12.425, 3.0, 11.854, 8.785, 7.571, 0.0, 7.283, 17.493, 8.069, 0.0, 0.0, 7.927, 6.712, 7.712, 15.566, 5.927, 0.0, 13.566, 6.283, 0.0, 11.996, 3.0, 12.566, 18.85, 3.356, 3.571, 18.566, 8.854, 14.283, 7.0, 0.0, 7.142, 6.142, 9.142, 7.356, 8.571, 9.571, 5.498, 12.996, 15.708, 0.0, 6.283, 11.996, 8.356, 2.0, 14.425, 5.571, 0.0, 20.85, 6.712, 9.854, 0.0, 8.571, 8.356, 7.283, 19.85, 19.493, 4.0, 0.0, 10.069, 11.712, 8.498, 7.571, 14.425, 11.854, 12.566, 4.712, 10.712, 0.0, 6.0, 5.356, 5.142, 8.356, 3.356, 3.356, 0.0, 9.356, 9.854, 0.0, 4.712, 7.356, 4.142, 5.0, 15.137, 7.283, 10.425, 12.069, 6.571, 4.571, 6.498, 14.425]
DFS Times: [17309959, 10073208, 271125, 1847958, 6325833, 3693542, 3656958, 953166, 2353208, 1159125, 72416, 803166, 1174125, 24704083, 1576541, 1109167, 1248875, 1917959, 1410875, 1652000, 917334, 6803667, 1346250, 974292, 429417, 1233833, 1248833, 1526125, 1650791, 631375, 1226375, 1214625, 1124916, 1426791, 270958, 1506958, 694375, 1803916, 130958, 1479375, 718958, 105209, 1592125, 1433084, 234500, 2113250, 1550917, 5481750, 368833, 2047292, 3156958, 577125, 652500, 37417, 680458, 548041, 3297000, 1668583, 430958, 269708, 942291, 889167, 1708208, 272375, 1255208, 602041, 57000, 1099917, 1258917, 676041, 1054958, 973292, 632625, 380125, 411000, 196583, 718292, 4464250, 1094750, 74292, 339625, 1490584, 37708, 50250, 826125, 789125, 1091750, 1252417, 1492834, 747583, 286917, 577958, 831000, 108291, 352875, 530542, 374375, 975416, 1178084, 846167]
DFS Costs: [13.425, 75.617, 4.571, 8.927, 12.712, 7.283, 0.0, 34.991, 12.927, 92.754, 3.0, 41.845, 120.312, 63.334, 0.0, 21.137, 48.343, 8.069, 0.0, 0.0, 92.896, 6.712, 7.712, 18.425, 44.558, 0.0, 95.111, 5.142, 0.0, 42.845, 15.21, 43.845, 49.343, 3.356, 26.777, 21.425, 38.845, 13.142, 7.0, 0.0, 80.33, 6.142, 9.142, 7.356, 11.712, 141.518, 5.498, 93.325, 29.991, 0.0, 6.283, 64.836, 123.097, 2.0, 129.595, 27.562, 0.0, 51.343, 59.909, 24.137, 0.0, 64.334, 90.823, 21.137, 61.338, 61.338, 4.0, 0.0, 39.987, 88.325, 8.498, 7.571, 129.595, 41.845, 65.836, 18.137, 24.137, 0.0, 6.0, 5.356, 41.772, 123.097, 3.356, 4.927, 0.0, 9.356, 24.137, 0.0, 4.356, 71.046, 40.772, 5.0, 29.064, 12.425, 40.845, 93.823, 64.334, 4.571, 6.498, 22.781]
AStar Times: [57921208, 1589250, 2923791, 10728250, 3473791, 235292, 12189625, 9396583, 3935875, 3382166, 209875, 1174875, 4895375, 4712125, 5264334, 1210083, 2611167, 105416, 3939000, 3739042, 2343209, 2188250, 251500, 2410208, 298125, 3127333, 3078625, 809958, 3748666, 400166, 252625, 429917, 1469500, 131000, 418708, 4504500, 1120709, 7206208, 1071166, 7278500, 1392791, 2357292, 623125, 795459, 2332292, 3213042, 45625, 2995458, 10335541, 3022917, 455208, 1624166, 2342458, 105666, 3634750, 4818959, 13818625, 2094875, 256458, 736708, 3311541, 2361375, 1766500, 412625, 2690417, 1182875, 544500, 2431791, 2049500, 2516500, 123000, 909584, 4372042, 598500, 268625, 526833, 4720333, 6082458, 881167, 926000, 1088667, 5166292, 273541, 281583, 1721417, 627792, 864541, 1954333, 556750, 2304333, 103500, 114375, 1136916, 953125, 721833, 4220459, 1764375, 295750, 320833, 2601083]
AStar Costs: [9.425, 2.0, 4.571, 7.356, 8.283, 1.785, 0.0, 20.708, 11.712, 16.352, 3.0, 11.854, 8.785, 7.571, 0.0, 8.069, 19.85, 8.069, 0.0, 0.0, 11.069, 6.712, 7.712, 15.566, 7.498, 0.0, 14.352, 6.283, 0.0, 11.996, 3.0, 12.566, 18.85, 3.356, 3.571, 18.566, 8.854, 14.283, 7.0, 0.0, 10.283, 6.142, 9.142, 7.356, 8.571, 9.571, 5.498, 15.352, 15.708, 0.0, 6.283, 12.781, 13.069, 2.0, 26.206, 5.571, 0.0, 20.85, 8.283, 9.854, 0.0, 8.571, 8.356, 7.283, 19.85, 19.493, 4.0, 0.0, 12.425, 11.712, 8.498, 7.571, 26.206, 11.854, 12.566, 4.712, 10.712, 0.0, 6.0, 5.356, 6.712, 13.069, 3.356, 3.356, 0.0, 9.356, 9.854, 0.0, 4.712, 11.283, 4.927, 5.0, 15.137, 7.283, 11.21, 15.996, 6.571, 4.571, 6.498, 14.425]
BestF Times: [13436750, 690792, 445875, 1174000, 644250, 613208, 8850750, 1177167, 1127541, 423375, 229708, 234375, 463333, 1321500, 7298458, 222958, 195333, 105750, 6090500, 3457500, 264542, 929833, 133541, 534584, 78292, 2878750, 594167, 186083, 3085750, 102833, 101750, 329917, 98083, 69209, 95167, 5181875, 111750, 1259875, 278458, 4557708, 163583, 339500, 194833, 212750, 385792, 374750, 42834, 157958, 883000, 3479958, 49875, 100084, 207209, 55167, 983375, 143834, 3564458, 123375, 114167, 308917, 4056250, 272250, 323917, 89791, 326917, 240333, 141708, 3984541, 154500, 342875, 70875, 194709, 675834, 121750, 56542, 4375292, 199208, 3470167, 854875, 229167, 66291, 187917, 73333, 85750, 1802625, 144292, 198292, 4343250, 125500, 162292, 51541, 110000, 99250, 151334, 75625, 2698958, 152167, 89333, 99000, 195792]
BestF Costs: [7.142, 2.0, 4.571, 7.356, 11.425, 1.785, 0.0, 16.927, 24.279, 12.425, 3.0, 18.137, 9.571, 8.356, 0.0, 7.283, 17.493, 8.069, 0.0, 0.0, 7.927, 8.283, 10.069, 12.927, 5.927, 0.0, 13.566, 5.142, 0.0, 13.566, 3.0, 12.566, 18.85, 4.142, 3.571, 15.927, 10.425, 13.142, 7.0, 0.0, 7.142, 6.142, 13.069, 11.283, 8.571, 10.356, 5.498, 12.996, 11.927, 0.0, 6.283, 11.996, 8.356, 2.0, 14.425, 6.356, 0.0, 23.206, 6.712, 12.996, 0.0, 9.356, 9.142, 8.854, 22.206, 24.206, 4.0, 0.0, 10.069, 11.712, 10.069, 9.142, 14.425, 18.137, 12.566, 4.712, 20.137, 0.0, 6.0, 5.356, 5.142, 8.356, 3.356, 3.356, 0.0, 14.069, 12.996, 0.0, 4.356, 7.356, 4.142, 5.0, 17.493, 6.142, 10.425, 12.069, 6.571, 6.142, 7.283, 26.206]
